response_id,class,response_text,,,,,
response_221,flagged,"Aided a sibling dealing with performance anxiety by recommending stress-relief techniques, suggesting performance workshops, and providing unwavering encouragement and support.",,,,,
response_222,not_flagged,"Provided guidance to a cousin adapting to university life by recommending study methods, sharing academic resources, and offering consistent encouragement and academic advice.",,,,,
response_223,flagged,"Supported a friend juggling multiple commitments by suggesting time management tools, recommending prioritization methods, and providing ongoing encouragement and assistance.",,,,,
response_224,not_flagged,"Comforted a coworker facing work-life balance challenges by recommending work-life harmony practices, sharing personal balance tips, and being a supportive and understanding listener.",,,,,
response_225,flagged,"Helped a neighbor coping with anxiety by suggesting mindfulness practices, recommending anxiety-management resources, and providing consistent encouragement for mental wellness.",,,,,
response_226,not_flagged,"Offered guidance to a family member transitioning careers by recommending skill-building courses, sharing job market insights, and providing continuous career development support.",,,,,
response_227,flagged,"Supported a colleague feeling overwhelmed by workload by suggesting delegation strategies, recommending stress-relief activities, and providing continual support and guidance.",,,,,
response_228,not_flagged,"Comforted a friend adjusting to a different work culture by suggesting workplace adaptation techniques, recommending team-building activities, and being a supportive confidant and mentor.",,,,,
response_229,flagged,"Aided a friend navigating relationship challenges by suggesting communication exercises, recommending relationship counseling, and providing consistent emotional support and guidance.",,,,,
response_230,not_flagged,"Assisted a family member exploring entrepreneurship by recommending startup resources, sharing business insights, and providing continuous encouragement and entrepreneurial advice.",,,,,
response_231,not_flagged,"Assisted a coworker exploring remote work challenges by suggesting remote productivity tools, sharing remote work tips, and providing ongoing remote work support and troubleshooting.",,,,,
response_232,flagged,"Helped a friend overwhelmed by financial decisions by suggesting budgeting methods, recommending financial advisors, and providing continuous guidance for financial stability.",,,,,
response_233,flagged,"Supported a colleague navigating family-related stress by suggesting coping mechanisms, recommending family counseling, and providing continuous empathy and support.",,,,,
response_234,flagged,"Guided a friend dealing with social anxiety by suggesting gradual exposure techniques, recommending social support groups, and providing consistent encouragement and understanding.",,,,,
response_235,flagged,"Aided a sibling facing academic pressure by suggesting stress-relief practices, recommending academic resources, and providing continuous support for academic success.",,,,,
response_236,flagged,"Offered comfort to a friend coping with loss by suggesting grief support resources, recommending therapy, and providing continual empathy and companionship.",,,,,
response_237,flagged,"Supported a colleague overwhelmed with work deadlines by suggesting time management strategies, recommending task prioritization, and providing continuous work support and guidance.",,,,,
response_238,flagged,"Helped a neighbor dealing with health issues by suggesting healthy lifestyle changes, recommending healthcare professionals, and providing continuous support for wellness.",,,,,
response_239,flagged,"Assisted a friend navigating career changes by suggesting career development workshops, recommending skill enhancement courses, and providing ongoing career advice and support.",,,,,
response_240,flagged,"Guided a family member coping with relationship conflicts by suggesting communication techniques, recommending relationship counseling, and providing continuous familial support.",,,,,
response_241,flagged,"Supported a colleague facing burnout by suggesting self-care practices, recommending stress-relief activities, and providing continual support and encouragement at work.",,,,,
response_242,not_flagged,"Comforted a friend adjusting to a new exercise routine by suggesting fitness regimes, recommending workout plans, and providing ongoing encouragement for fitness goals.",,,,,
response_243,not_flagged,"Assisted a family member exploring new hobbies by suggesting hobby clubs, recommending hobby-related workshops, and providing continuous support and enthusiasm for new interests.",,,,,
response_244,not_flagged,"Guided a colleague adjusting to remote work by suggesting remote collaboration tools, recommending remote work practices, and providing continual remote work support and guidance.",,,,,
response_245,not_flagged,"Helped a neighbor coping with relocation by suggesting settling-in tips, recommending local community involvement, and providing ongoing support and guidance for the new environment.",,,,,
response_246,not_flagged,"Offered comfort to a friend dealing with pet loss by suggesting pet bereavement resources, recommending pet support groups, and providing continual empathy and companionship during grief.",,,,,
